Deviation ID,Title,Author,Views,Favorites,Comments,URL Link,Date Posted,Height,Width,File Size,Author Watchers,Author Page Views,Author Deviations
402F3AC2-00A0-C125-C38A-7D7D115FEB19,Mother's Day 2023,TC-96,226843,1851,119,https://www.deviantart.com/tc-96/art/Mother-s-Day-2023-962405128,2023-05-14 03:03:33,1373,1280,10188807,76682,14104535,1125
7B95FF3B-DD45-2551-1E6C-610FB8CF0141,3245. Light Jolteon TCG (Fan Art),Cryptid-Creations,159558,1167,21,https://www.deviantart.com/cryptid-creations/art/3245-Light-Jolteon-TCG-Fan-Art-958059861,2023-05-15 08:00:05,652,900,892442,179511,8199386,3353
CC32A3B6-5771-30C2-012C-F8A921465FD9,sneaky bud!,Apofiss,142872,889,11,https://www.deviantart.com/apofiss/art/sneaky-bud-962602943,2023-05-15 09:42:06,338,600,143290,170567,6085730,755
EF788684-E3ED-4A25-C651-0D89108E677D,Moushley Fanart,LoulouVZ,380472,944,11,https://www.deviantart.com/loulouvz/art/Moushley-Fanart-961968477,2023-05-11 01:33:28,2925,2925,1201402,17672,1026305,3846
E1C46EE7-1A48-48B8-5FD6-56C6AFCA3B70,Happy Mother's Day 2023,OUTCASTComix,202538,779,41,https://www.deviantart.com/outcastcomix/art/Happy-Mother-s-Day-2023-962447151,2023-05-14 09:49:46,1276,1024,3697959,24119,2604771,948
52D5DBF5-8DDE-A6D9-3CFC-6564E9EB6BA3,Splash pose,rongs1234,415298,928,20,https://www.deviantart.com/rongs1234/art/Splash-pose-962047244,2023-05-11 14:27:08,589,1280,1811339,21869,1527302,4131
1AEB56D7-5B52-A69B-9323-F6065F6A816D,Lavender Dreams. [Adoptable],SenchaFox,416702,713,11,https://www.deviantart.com/senchafox/art/Lavender-Dreams-Adoptable-961901277,2023-05-10 13:52:23,1024,1024,27792020,1237,13961,92
AA714BFC-3D7D-9DDA-9833-A9840E21B5FB,The Eclipse Knight,AnatoFinnstark,179850,794,12,https://www.deviantart.com/anatofinnstark/art/The-Eclipse-Knight-962145757,2023-05-12 08:17:52,1260,900,18628140,44934,777723,869
D5CAADA8-8214-84E9-29CE-9F0D9E1A9258,Commission - Yor Forger,Neldorwen,365188,755,20,https://www.deviantart.com/neldorwen/art/Commission-Yor-Forger-961879310,2023-05-10 10:56:09,1100,1100,672737,1761,178913,1056
60BAD3C8-F557-177C-C812-CFD3219E9356,Cloud isopod,pikaole,256350,517,5,https://www.deviantart.com/pikaole/art/Cloud-isopod-962083334,2023-05-11 19:46:41,567,800,258765,17798,296397,811
6797CD44-47EA-B405-9377-5D41D83F33FE,A l'aise...,thrumyeye,2022744,31101,2385,https://www.deviantart.com/thrumyeye/art/A-l-aise-197858159,2011-02-17 23:43:04,599,900,408379,36527,1354597,2179
83750DFB-D23E-00A3-DF4F-D164A07DF605,Tiger cub,Kamirah,1271381,20720,2097,https://www.deviantart.com/kamirah/art/Tiger-cub-91352648,2008-07-11 06:10:53,800,800,523370,45123,7500677,358
8F1ED8A1-88A5-861A-F83B-77916A1481A0,Baby Steps 0268P,Sooper-Deviant,1097647,24050,937,https://www.deviantart.com/sooper-deviant/art/Baby-Steps-0268P-139286670,2009-10-05 06:55:37,400,400,4493241,35586,1438276,345
66D5BA39-C0D4-7A95-52FF-C0694149142E,Sky Turtle,yuumei,1056252,23103,918,https://www.deviantart.com/yuumei/art/Sky-Turtle-428964840,2014-01-23 10:46:57,532,1000,390864,397714,22504529,842
1C127EBF-EFF7-7BC4-004D-0355A2856C05,Riders,sandara,1240154,15643,512,https://www.deviantart.com/sandara/art/Riders-404380624,2013-09-30 23:37:02,770,1200,832434,212588,7566517,796
9D329FE5-C9C2-8514-FBC5-4775A239A8C9,Light and shadow (  Video Tutorial ),yuchenghong,1084728,15716,150,https://www.deviantart.com/yuchenghong/art/Light-and-shadow-Video-Tutorial-494770871,2014-11-16 02:27:51,860,900,215933,56514,1020431,178
B39CF7AE-34ED-F0B5-B25E-A7440373D4CD,-Eevee-,arvalis,2134897,33053,2990,https://www.deviantart.com/arvalis/art/Eevee-340935802,2012-12-02 17:46:13,3672,8161,4234546,122553,9161967,342
D0819182-2D8D-ED19-9884-65D1B502B9E0,Sorrow For Whales,RHADS,1020843,15143,562,https://www.deviantart.com/rhads/art/Sorrow-For-Whales-330979514,2012-10-06 08:31:42,558,900,852029,52939,1490625,404
713EBDF3-13A5-EDD6-94B2-AAE1F7A6EAF8,vintage grunge textures,LilySanches,1887258,10828,0,https://www.deviantart.com/lilysanches/art/vintage-grunge-textures-79040200,2008-03-03 15:58:16,400,500,273748,28334,3238290,33
562D2B71-E8D9-BB82-4CBF-4ED827CC0C0F,Mini Youtube Player embeddable code,CypherVisor,1044150,10973,1821,https://www.deviantart.com/cyphervisor/art/Mini-Youtube-Player-embeddable-code-364898315,2013-04-11 09:18:51,610,698,92551,10516,1222664,392
